"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Variável x Ano x Produto das lavouras temporárias"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Área plantada (Hectares)"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)"
"MU","4306957","Entre Rios do Sul (RS)","3","3","3","3","1","1","-","-","-","-","-","-","-","-","-","-","-"
"MU","4306973","Erebango (RS)","10","10","10","10","10","10","10","10","5","3","4","2","4","2","2","2","2"
"MU","4307005","Erechim (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4307054","Ernestina (RS)","3","2","2","3","3","4","-","-","-","-","-","-","-","-","-","-","-"
"MU","4307104","Herval (RS)","644","500","400","550","600","650","480","500","550","550","720","700","720","150","-","350","160"
"MU","4307203","Erval Grande (RS)","10","7","7","5","1","2","2","2","2","2","2","2","2","2","4","4","3"
"MU","4307302","Erval Seco (RS)","65","65","65","65","22","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4307401","Esmeralda (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4307450","Esperança do Sul (RS)","3","3","-","1","1","-","1","-","-","-","-","-","-","-","-","-","-"
"MU","4307500","Espumoso (RS)","10","10","10","10","10","5","-","-","-","-","-","-","-","-","-","-","-"
"MU","4307559","Estação (RS)","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4307609","Estância Velha (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4307708","Esteio (RS)","350","350","350","350","300","350","400","400","200","200","200","200","450","450","450","450","450"
"MU","4307807","Estrela (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4307815","Estrela Velha (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4307831","Eugênio de Castro (RS)","10","10","1","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
