ibge,id_mun,latitude,longitude,municipio,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
4305447,430544,-30.757427,-51.978542,Chuvisca,3,3,3,0,0,0,0,0,0,0,0,0,2,2,3,3,8,10,6,4,6,6,6
4305454,430545,-30.18117,-50.209092,Cidreira,505,450,450,450,464,449,789,939,939,1114,718,1181,1072,1082,1072,1100,1060,1060,1380,1250,1236,1513,1156
4305504,430550,-28.344303,-51.883031,Ciríaco,60,60,60,60,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4305587,430558,-29.392537,-51.868576,Colinas,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4305603,430560,-28.522948,-52.993176,Colorado,12,12,8,8,8,8,8,8,8,4,2,2,0,0,0,0,0,0,0,0,0,0,0
4305702,430570,-28.205296,-53.488943,Condor,50,50,35,20,10,10,10,10,10,3,1,1,2,0,0,0,0,0,0,0,0,0,0
4305801,430580,-27.730411,-52.987739,Constantina,20,15,15,15,10,10,5,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
4305835,430583,-29.179257,-52.094603,Coqueiro Baixo,0,5,5,5,5,5,5,5,5,3,3,3,3,3,0,0,0,0,0,0,0,0,0
4305850,430585,-28.117428,-52.778801,Coqueiros do Sul,25,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4305871,430587,-28.384541,-54.073662,Coronel Barros,10,10,10,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4305900,430590,-27.717873,-53.709128,Coronel Bicaco,270,270,270,270,270,270,270,350,350,350,70,10,10,0,0,0,0,0,0,0,0,0,60
4305934,430593,-29.27271,-51.684935,Coronel Pilar,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
4305959,430595,-28.998576,-51.696434,Cotiporã,6,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4305975,430597,-28.121342,-52.300278,Coxilha,10,10,10,5,5,4,4,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0
4306007,430600,-27.498012,-54.100035,Crissiumal,26,26,26,26,26,26,5,5,5,5,1,3,0,0,0,0,0,0,0,0,0,0,0
4306056,430605,-30.999345,-52.04941,Cristal,5110,5040,5020,4520,5020,5660,5655,5005,5005,7210,7010,7050,6030,5550,5500,5580,5000,5500,5000,5000,5080,5080,5000
4306072,430607,-27.45363,-53.249184,Cristal do Sul,20,20,20,20,20,20,20,20,20,20,18,5,3,1,0,0,0,1,0,0,0,1,1
4306106,430610,-28.642447,-53.605241,Cruz Alta,220,135,130,50,180,180,80,80,60,30,0,0,0,0,0,0,0,0,0,0,0,0,0
4306130,430613,-27.664888,-52.648143,Cruzaltense,0,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0
4306205,430620,-29.508291,-51.991576,Cruzeiro do Sul,440,440,490,570,705,710,710,710,710,710,760,760,610,780,780,780,775,672,672,632,652,672,632
4306304,430630,-28.384612,-51.852249,David Canabarro,10,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4306320,430632,-27.265391,-53.865119,Derrubadas,25,15,15,15,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4306353,430635,-28.226876,-55.048209,Dezesseis de Novembro,90,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4306379,430637,-29.701964,-54.21356,Dilermando de Aguiar,3900,3900,2260,2270,2530,2120,2110,2100,3400,3400,3400,3400,3060,3280,3280,2700,2000,2000,2700,2700,2500,2700,2700
4306403,430640,-29.584159,-51.087619,Dois Irmãos,3,3,3,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
4306429,430642,-27.657537,-53.530865,Dois Irmãos das Missões,55,55,22,22,22,22,22,22,22,22,1,0,0,0,0,0,0,0,0,0,0,0,0
4306452,430645,-28.975205,-51.835103,Dois Lajeados,30,30,25,25,25,25,15,15,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4306502,430650,-30.708598,-52.103934,Dom Feliciano,140,140,150,150,100,100,90,50,50,85,50,55,55,55,55,55,55,35,35,30,30,30,25
4306601,430660,-30.981267,-54.67413,Dom Pedrito,34500,43000,43500,43000,45000,46250,43900,27600,46600,46600,42400,50585,32800,40870,45650,47366,45892,46873,44990,38923,35841,30291,33000
4306551,430655,-29.370187,-49.84955,Dom Pedro de Alcântara,203,203,353,353,278,278,275,275,275,275,275,227,226,120,50,50,50,80,80,100,100,100,200
